"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"J. Cumming","England 2.","Oxford United","GK","26","1000000","","32","3158","0","0","0","0","England","right","185","no","1.34","0.06","50","0.57","95","0","1.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","20.66","79.72","14.02","71.54","11.66","66.99","0","0","0","3.45","51.24","0.2","14.29","0.03","8.01","76.87","1.25","3.73","66.41","1.17","-2.78","-0.079","1.85"
"T. Crama","England 2.","Millwall","RB, RCB","24","175000","2028-06-30","32","3154","2","2.63","2","3.43","France","right","192","no","10.02","6.62","65.52","5.62","60.41","0.57","7.61","0.06","0.08","0","22","0.63","36.36","9.091","2.51","42.05","1.43","64","3.37","44.92","1.88","2.17","0.6","34.13","72.24","16.38","64.63","5.19","43.96","0.1","0.03","0.63","5.51","63.21","2.37","49.4","0.51","9.33","67.28","","","0","0","","",""
"L. Vigouroux","England 2.","Swansea City","GK","32","300000","2028-06-30","32","3149","0","0","0","0","England","left","194","no","1.37","0","0","0.49","76.47","0.03","2.06","0","0","0","0","0","0","0","0","0","0.06","100","0.2","57.14","0","0","0","27.84","85.52","14.29","73.4","10.06","62.78","0","0","0","2.97","47.12","0.11","0","0","6.92","76.45","1.11","4.12","72.92","1.14","0.93","0.027","1.54"
"C. Burgess","England 2.","Swansea City","LCB","30","1500000","2028-06-30","32","3149","0","1.84","0","0.3","Scotland","left","194","no","8.75","3.14","70.91","7.09","61.69","0.77","9.63","0","0.05","0","16","0.46","18.75","0","0.09","33.33","0.03","0","0.49","41.18","0.6","0.23","0","65.39","85.36","31.21","74.63","8.69","45.07","0.01","0","0","8.29","57.93","1.03","16.67","0.14","11.8","69.98","","","0","0","","",""
"M. Cooper","England 2.","Sheffield United","GK","26","0","","32","3121","0","0","0","0","England","right","186","no","1.41","0.09","66.67","0.49","82.35","0","1.94","0","0","0","0","0","0","0","0","0","0.03","100","0.14","60","0.03","0","0","22.55","81.2","14.39","71.74","10.27","61.52","0","0","0","4.93","55.56","0.4","14.29","0.06","7.15","84.27","1.21","3.75","67.69","1","-7.42","-0.214","1.67"
"S. Thomas","England 2.","Stoke City","LAMF","27","4200000","2028-06-30","32","3103","9","4.62","4","7.11","England","right","185","no","3.8","3.05","60","1.42","22.45","0.03","2.96","0.26","0.13","0","44","1.28","52.27","20.455","4.87","23.21","4.76","59.76","9.54","42.86","2.06","2.81","0.55","26.34","63.99","7.6","52.29","2.44","42.86","0.21","0.17","0.38","3.92","58.52","5.13","33.9","1.02","6.06","77.99","","","0","0","","",""
"I. Pandur","England 2.","Hull City","GK","25","2000000","2027-06-30","31","3099","0","0","0","0","Croatia","right","187","no","1.48","0.03","100","0.49","100","0","1.82","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","27.65","85.5","15.28","75.29","12.49","70","0","0","0","3.89","57.46","0.26","0","0","9.7","81.44","1.25","4.33","71.14","1.36","3.86","0.112","1.57"
"T. Kaminski","England 2.","Charlton Athletic","GK","33","3000000","2028-06-30","31","3098","0","0","0","0","Belgium","right","190","no","1.37","0.09","66.67","0.26","88.89","0","1.7","0","0","0","0","0","0","0","0","0","0.03","100","0.17","83.33","0","0","0","19.06","86.59","12.06","79.52","8.86","73.11","0","0","0","2.99","67.96","0.15","60","0.06","7.12","86.12","1.1","3.57","69.11","1.07","-1.3","-0.038","1.1"
"V. Kovačević","England 2.","Norwich City","GK","27","6000000","2029-06-30","31","3092","0","0","0","0","Bosnia and Herzegovina","right","192","no","1.48","0.03","0","0.93","90.63","0","2.08","0","0","0","0","0","0","0","0","0","0.06","50","0.17","50","0","0","0.03","22.24","90.45","10.8","82.75","5.36","67.39","0","0","0","1.05","41.67","0.06","0","0","4.34","75.17","1.22","3.64","66.4","1.21","-0.58","-0.017","1.8"
"C. Rushworth","England 2.","Coventry City","GK","24","3000000","2027-06-30","31","3085","0","0","0","0.42","England","left","191","yes","1.4","0.12","25","0.41","100","0","2.12","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","27.42","83.4","16.19","75.14","10.5","61.67","0.01","0","0.03","5.02","56.98","0.32","27.27","0.06","7.06","79.34","1.02","3.62","71.77","1.08","1.96","0.057","1.72"
